year,raw.data,fitted.data,Seup,Selo,metric,timeseries,order
1994,1.17,1.17,NA,NA,Normalized index,Light pollution,11
1995,2.05,2.05,NA,NA,Normalized index,Light pollution,11
1996,1.53,1.53,NA,NA,Normalized index,Light pollution,11
1997,1.33,1.33,NA,NA,Normalized index,Light pollution,11
1998,0.89,0.89,NA,NA,Normalized index,Light pollution,11
1999,-0.04,-0.04,NA,NA,Normalized index,Light pollution,11
2000,0.26,0.26,NA,NA,Normalized index,Light pollution,11
2001,-0.63,-0.63,NA,NA,Normalized index,Light pollution,11
2002,-0.39,-0.39,NA,NA,Normalized index,Light pollution,11
2003,-0.6,-0.6,NA,NA,Normalized index,Light pollution,11
2004,-0.9,-0.9,NA,NA,Normalized index,Light pollution,11
2005,-0.98,-0.98,NA,NA,Normalized index,Light pollution,11
2006,-0.81,-0.81,NA,NA,Normalized index,Light pollution,11
2007,-0.7,-0.7,NA,NA,Normalized index,Light pollution,11
2008,-0.85,-0.85,NA,NA,Normalized index,Light pollution,11
2009,-0.53,-0.53,NA,NA,Normalized index,Light pollution,11
2010,-0.79,-0.79,NA,NA,Normalized index,Light pollution,11
1999,16.43,16.43,NA,NA,Predicted counts of debris,Marine debris (north),12
2000,11.1,11.1,NA,NA,Predicted counts of debris,Marine debris (north),12
2001,9.94,9.94,NA,NA,Predicted counts of debris,Marine debris (north),12
2002,9.91,9.91,NA,NA,Predicted counts of debris,Marine debris (north),12
2003,10.25,10.25,NA,NA,Predicted counts of debris,Marine debris (north),12
2004,11.57,11.57,NA,NA,Predicted counts of debris,Marine debris (north),12
2005,12.32,12.32,NA,NA,Predicted counts of debris,Marine debris (north),12
2006,12.32,12.32,NA,NA,Predicted counts of debris,Marine debris (north),12
2007,12.85,12.85,NA,NA,Predicted counts of debris,Marine debris (north),12
1999,6.96,6.96,NA,NA,Predicted counts of debris,Marine debris (south),13
2000,7.15,7.15,NA,NA,Predicted counts of debris,Marine debris (south),13
2001,9.75,9.75,NA,NA,Predicted counts of debris,Marine debris (south),13
2002,5.23,5.23,NA,NA,Predicted counts of debris,Marine debris (south),13
2003,4.9,4.9,NA,NA,Predicted counts of debris,Marine debris (south),13
2004,4.33,4.33,NA,NA,Predicted counts of debris,Marine debris (south),13
2005,3.89,3.89,NA,NA,Predicted counts of debris,Marine debris (south),13
2006,3.96,3.96,NA,NA,Predicted counts of debris,Marine debris (south),13
2007,3.29,3.29,NA,NA,Predicted counts of debris,Marine debris (south),13
1945,-1.867494447,-1.85556932,-1.66034105,-2.05079759,Normalized sum of N & P,Nutrient input,14
1946,-1.798414323,-1.7938772,-1.59325273,-1.99450168,Normalized sum of N & P,Nutrient input,14
1947,-1.71906704,-1.72102008,-1.52009746,-1.92194269,Normalized sum of N & P,Nutrient input,14
1948,-1.639942957,-1.65296901,-1.4520297,-1.85390832,Normalized sum of N & P,Nutrient input,14
1949,-1.614885928,-1.61697265,-1.4160324,-1.8179129,Normalized sum of N & P,Nutrient input,14
1950,-1.598817987,-1.58611132,-1.38517102,-1.78705162,Normalized sum of N & P,Nutrient input,14
1951,-1.522815227,-1.52398123,-1.32304093,-1.72492153,Normalized sum of N & P,Nutrient input,14
1952,-1.457676378,-1.46472046,-1.26378016,-1.66566076,Normalized sum of N & P,Nutrient input,14
1953,-1.41608743,-1.42279387,-1.22185357,-1.62373417,Normalized sum of N & P,Nutrient input,14
1954,-1.394251603,-1.39737059,-1.19643029,-1.59831089,Normalized sum of N & P,Nutrient input,14
1955,-1.374145599,-1.37962257,-1.17868227,-1.58056287,Normalized sum of N & P,Nutrient input,14
1956,-1.386984715,-1.37535235,-1.17441205,-1.57629265,Normalized sum of N & P,Nutrient input,14
1957,-1.346327317,-1.34245704,-1.14151674,-1.54339734,Normalized sum of N & P,Nutrient input,14
1958,-1.32184946,-1.30003769,-1.09909739,-1.500978,Normalized sum of N & P,Nutrient input,14
1959,-1.182882309,-1.20394363,-1.00300333,-1.40488393,Normalized sum of N & P,Nutrient input,14
1960,-1.16568306,-1.15967757,-0.95873727,-1.36061788,Normalized sum of N & P,Nutrient input,14
1961,-1.118890083,-1.10063313,-0.89969283,-1.30157343,Normalized sum of N & P,Nutrient input,14
1962,-1.013681135,-0.9966617,-0.79572139,-1.197602,Normalized sum of N & P,Nutrient input,14
1963,-0.853921307,-0.85080858,-0.64986827,-1.05174888,Normalized sum of N & P,Nutrient input,14
1964,-0.685168796,-0.6972956,-0.4963553,-0.8982359,Normalized sum of N & P,Nutrient input,14
1965,-0.602930577,-0.57362444,-0.37268414,-0.77456474,Normalized sum of N & P,Nutrient input,14
1966,-0.386353659,-0.37783629,-0.17689599,-0.57877659,Normalized sum of N & P,Nutrient input,14
1967,-0.13431978,-0.16108846,0.03985184,-0.36202877,Normalized sum of N & P,Nutrient input,14
1968,0.010863921,-0.01021342,0.19072688,-0.21115373,Normalized sum of N & P,Nutrient input,14
1969,0.107198974,0.08879417,0.28973447,-0.11214613,Normalized sum of N & P,Nutrient input,14
1970,0.116909073,0.14251095,0.34345125,-0.05842935,Normalized sum of N & P,Nutrient input,14
1971,0.286121968,0.25922922,0.46016952,0.05828892,Normalized sum of N & P,Nutrient input,14
1972,0.2945472,0.30976941,0.51070971,0.1088291,Normalized sum of N & P,Nutrient input,14
1973,0.410635374,0.39776862,0.59870893,0.19682832,Normalized sum of N & P,Nutrient input,14
1974,0.511469309,0.45410515,0.65504546,0.25316485,Normalized sum of N & P,Nutrient input,14
1975,0.222931723,0.3692791,0.5702194,0.1683388,Normalized sum of N & P,Nutrient input,14
1976,0.698702342,0.64458688,0.84552718,0.44364658,Normalized sum of N & P,Nutrient input,14
1977,0.883162288,0.78672652,0.98766682,0.58578621,Normalized sum of N & P,Nutrient input,14
1978,0.595671446,0.69155555,0.89249586,0.49061525,Normalized sum of N & P,Nutrient input,14
1979,0.881551686,0.83233765,1.03327795,0.63139734,Normalized sum of N & P,Nutrient input,14
1980,0.86469044,0.85201309,1.05295339,0.65107279,Normalized sum of N & P,Nutrient input,14
1981,0.932831825,0.84049192,1.04143222,0.63955162,Normalized sum of N & P,Nutrient input,14
1982,0.61102705,0.60173932,0.80267963,0.40079902,Normalized sum of N & P,Nutrient input,14
1983,0.144624935,0.34013135,0.54107166,0.13919105,Normalized sum of N & P,Nutrient input,14
1984,0.662651832,0.55962853,0.76056883,0.35868822,Normalized sum of N & P,Nutrient input,14
1985,0.584916089,0.52560439,0.72654469,0.32466409,Normalized sum of N & P,Nutrient input,14
1986,0.335436081,0.34562512,0.54656542,0.14468482,Normalized sum of N & P,Nutrient input,14
1987,0.097874876,0.1907192,0.3916595,-0.0102211,Normalized sum of N & P,Nutrient input,14
1988,0.277494251,0.26428599,0.4652263,0.06334569,Normalized sum of N & P,Nutrient input,14
1989,0.299478808,0.3053497,0.50629001,0.1044094,Normalized sum of N & P,Nutrient input,14
1990,0.42466896,0.3608606,0.5618009,0.1599203,Normalized sum of N & P,Nutrient input,14
1991,0.20684568,0.25935093,0.46029123,0.05841062,Normalized sum of N & P,Nutrient input,14
1992,0.254945222,0.28704695,0.48798725,0.08610665,Normalized sum of N & P,Nutrient input,14
1993,0.371853113,0.3937394,0.5946797,0.1927991,Normalized sum of N & P,Nutrient input,14
1994,0.542522692,0.55428995,0.75523025,0.35334965,Normalized sum of N & P,Nutrient input,14
1995,0.747112955,0.74379755,0.94473785,0.54285725,Normalized sum of N & P,Nutrient input,14
1996,1.073004668,0.92514655,1.12608685,0.72420624,Normalized sum of N & P,Nutrient input,14
1997,0.71478279,0.74264404,0.94358434,0.54170374,Normalized sum of N & P,Nutrient input,14
1998,0.609436589,0.62870292,0.82964323,0.42776262,Normalized sum of N & P,Nutrient input,14
1999,0.500108194,0.5621727,0.763113,0.36123239,Normalized sum of N & P,Nutrient input,14
2000,0.615287645,0.64837173,0.84931204,0.44743143,Normalized sum of N & P,Nutrient input,14
2001,0.693875368,0.8159846,1.0169249,0.6150443,Normalized sum of N & P,Nutrient input,14
2002,1.437950164,1.28408571,1.48502601,1.08314541,Normalized sum of N & P,Nutrient input,14
2003,1.299895454,1.37355484,1.57449515,1.17261454,Normalized sum of N & P,Nutrient input,14
2004,1.818943488,1.64428612,1.84522642,1.44334582,Normalized sum of N & P,Nutrient input,14
2005,1.396249522,1.48521792,1.68615822,1.28427761,Normalized sum of N & P,Nutrient input,14
2006,1.650077648,1.54508448,1.74602478,1.34414417,Normalized sum of N & P,Nutrient input,14
2007,1.372718139,1.34658225,1.54752257,1.14564193,Normalized sum of N & P,Nutrient input,14
2008,1.232506568,1.08376443,1.28470497,0.8828239,Normalized sum of N & P,Nutrient input,14
2009,0.120780437,0.45491972,0.65586421,0.25397523,Normalized sum of N & P,Nutrient input,14
2010,0.721045293,0.64833001,0.84934501,0.44731501,Normalized sum of N & P,Nutrient input,14
2011,0.811378792,0.66280145,0.86507039,0.4605325,Normalized sum of N & P,Nutrient input,14
2012,0.155810244,0.3116515,0.53511466,0.08818835,Normalized sum of N & P,Nutrient input,14
2001,-1.020512227,-1.020512227,NA,NA,Normalized index,Ocean-based pollution,15
2002,-0.917383154,-0.917383154,NA,NA,Normalized index,Ocean-based pollution,15
2003,-0.55289674,-0.55289674,NA,NA,Normalized index,Ocean-based pollution,15
2004,0.494724749,0.494724749,NA,NA,Normalized index,Ocean-based pollution,15
2005,0.751607851,0.751607851,NA,NA,Normalized index,Ocean-based pollution,15
2006,1.714394915,1.714394915,NA,NA,Normalized index,Ocean-based pollution,15
2007,1.623975014,1.623975014,NA,NA,Normalized index,Ocean-based pollution,15
2008,0.717260505,0.717260505,NA,NA,Normalized index,Ocean-based pollution,15
2009,-1.410379536,-1.410379536,NA,NA,Normalized index,Ocean-based pollution,15
2010,-0.906922966,-0.906922966,NA,NA,Normalized index,Ocean-based pollution,15
2011,-0.216223151,-0.216223151,NA,NA,Normalized index,Ocean-based pollution,15
2012,-0.221642311,-0.221642311,NA,NA,Normalized index,Ocean-based pollution,15
2013,-0.056002948,-0.056002948,NA,NA,Normalized index,Ocean-based pollution,15
1974,0.255927871,0.255927871,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1975,0.039248774,0.039248774,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1976,-0.183678476,-0.183678476,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1977,-0.675048257,-0.675048257,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1978,-0.726328498,-0.726328498,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1979,-0.783806488,-0.783806488,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1980,-0.883621659,-0.883621659,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1981,-0.453209022,-0.453209022,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1982,-0.03957695,-0.03957695,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1983,0.126312039,0.126312039,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1984,0.77292742,0.77292742,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1985,1.389020281,1.389020281,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1986,1.016258787,1.016258787,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1987,0.739362843,0.739362843,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1988,0.477881445,0.477881445,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1989,0.43608712,0.43608712,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1990,0.237023131,0.237023131,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1991,0.335901274,0.335901274,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1992,0.682858888,0.682858888,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1993,0.764312183,0.764312183,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1994,1.039385819,1.039385819,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1995,1.640256976,1.640256976,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1996,1.539875705,1.539875705,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1997,1.593939421,1.593939421,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1998,1.327692154,1.327692154,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1999,1.13083588,1.13083588,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2000,0.950775666,0.950775666,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2001,0.687093756,0.687093756,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2002,0.543756715,0.543756715,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2003,0.208916068,0.208916068,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2004,0.038897743,0.038897743,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2005,-0.021030072,-0.021030072,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2006,-0.228524556,-0.228524556,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2007,-0.308471282,-0.308471282,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2008,-0.31328179,-0.31328179,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2009,-0.563229001,-0.563229001,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2010,-0.604010996,-0.604010996,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2011,-0.815354882,-0.815354882,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2012,-1.105213771,-1.105213771,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2013,-1.032304227,-1.032304227,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2014,-1.004773897,-1.004773897,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2015,-1.624092496,-1.624092496,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2016,-2.113505809,-2.113505809,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2017,-2.164812098,-2.164812098,NA,NA,Oil & gas production,Offshore oil and gas activity,16
2018,-2.330673735,-2.330673735,NA,NA,Oil & gas production,Offshore oil and gas activity,16
1992,0.097698644,0.097698644,NA,NA,Toxicity-weighted index,Organic pollution,17
1993,0.084492936,0.084492936,NA,NA,Toxicity-weighted index,Organic pollution,17
1994,0.095453577,0.095453577,NA,NA,Toxicity-weighted index,Organic pollution,17
1995,0.081054475,0.081054475,NA,NA,Toxicity-weighted index,Organic pollution,17
1996,0.058525532,0.058525532,NA,NA,Toxicity-weighted index,Organic pollution,17
1997,0.061929506,0.061929506,NA,NA,Toxicity-weighted index,Organic pollution,17
1998,0.067050386,0.067050386,NA,NA,Toxicity-weighted index,Organic pollution,17
1999,0.054167558,0.054167558,NA,NA,Toxicity-weighted index,Organic pollution,17
2000,0.051133153,0.051133153,NA,NA,Toxicity-weighted index,Organic pollution,17
2001,0.049726887,0.049726887,NA,NA,Toxicity-weighted index,Organic pollution,17
2002,0.053791011,0.053791011,NA,NA,Toxicity-weighted index,Organic pollution,17
2003,0.055596719,0.055596719,NA,NA,Toxicity-weighted index,Organic pollution,17
2004,0.075132818,0.075132818,NA,NA,Toxicity-weighted index,Organic pollution,17
2005,0.059295456,0.059295456,NA,NA,Toxicity-weighted index,Organic pollution,17
2006,0.099743135,0.099743135,NA,NA,Toxicity-weighted index,Organic pollution,17
2007,0.049523718,0.049523718,NA,NA,Toxicity-weighted index,Organic pollution,17
2008,0.052384712,0.052384712,NA,NA,Toxicity-weighted index,Organic pollution,17
2009,0.060794618,0.060794618,NA,NA,Toxicity-weighted index,Organic pollution,17
2010,0.048054338,0.048054338,NA,NA,Toxicity-weighted index,Organic pollution,17
1955,17.791427,17.791427,NA,NA,Millions of cubic meters,Power plants,18
1960,32.554526,32.554526,NA,NA,Millions of cubic meters,Power plants,18
1965,37.8541,37.8541,NA,NA,Millions of cubic meters,Power plants,18
1970,31.040362,31.040362,NA,NA,Millions of cubic meters,Power plants,18
1975,34.825772,34.825772,NA,NA,Millions of cubic meters,Power plants,18
1980,34.825772,34.825772,NA,NA,Millions of cubic meters,Power plants,18
1985,44.289297,44.289297,NA,NA,Millions of cubic meters,Power plants,18
1990,43.153674,43.153674,NA,NA,Millions of cubic meters,Power plants,18
1995,35.7693233,35.7693233,NA,NA,Millions of cubic meters,Power plants,18
2000,47.66425499,47.66425499,NA,NA,Millions of cubic meters,Power plants,18
2005,47.64915121,47.64915121,NA,NA,Millions of cubic meters,Power plants,18
2010,24.74046721,24.74046721,NA,NA,Millions of cubic meters,Power plants,18
2015,10.74753607,10.74753607,NA,NA,Millions of cubic meters,Power plants,18
2002,-0.048155296,-0.048155296,NA,NA,Index of beach attendance,Recreational beach use,19
2003,-0.531497839,-0.531497839,NA,NA,Index of beach attendance,Recreational beach use,19
2004,0.451177694,0.451177694,NA,NA,Index of beach attendance,Recreational beach use,19
2005,0.134768047,0.134768047,NA,NA,Index of beach attendance,Recreational beach use,19
2006,0.805977517,0.805977517,NA,NA,Index of beach attendance,Recreational beach use,19
2007,1.413573749,1.413573749,NA,NA,Index of beach attendance,Recreational beach use,19
2008,0.885162499,0.885162499,NA,NA,Index of beach attendance,Recreational beach use,19
2009,1.104176612,1.104176612,NA,NA,Index of beach attendance,Recreational beach use,19
2010,0.179111451,0.179111451,NA,NA,Index of beach attendance,Recreational beach use,19
2011,-2.179045198,-2.179045198,NA,NA,Index of beach attendance,Recreational beach use,19
2012,-0.667060359,-0.667060359,NA,NA,Index of beach attendance,Recreational beach use,19
2013,-0.316259628,-0.316259628,NA,NA,Index of beach attendance,Recreational beach use,19
2014,-1.23192925,-1.23192925,NA,NA,Index of beach attendance,Recreational beach use,19
1962,25.3104336,25.3104336,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1963,27.3969568,27.3969568,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1964,28.4402184,28.4402184,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1965,24.5846864,24.5846864,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1966,28.7577328,28.7577328,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1967,31.9328768,31.9328768,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1968,39.2810672,39.2810672,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1969,26.4897728,26.4897728,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1970,25.3557928,25.3557928,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1971,25.7640256,25.7640256,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1972,29.937072,29.937072,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1973,22.226008,22.226008,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1974,20.9559504,20.9559504,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1975,21.3641832,21.3641832,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1976,24.1310944,24.1310944,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1977,21.9084936,21.9084936,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1978,23.4507064,23.4507064,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1979,23.8589392,23.8589392,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1980,22.6342408,22.6342408,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1981,22.4074448,22.4074448,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1982,23.4507064,23.4507064,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1983,23.9042984,23.9042984,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1984,24.0857352,24.0857352,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1985,28.803092,28.803092,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1986,27.0794424,27.0794424,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1987,29.3927616,29.3927616,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1988,27.0794424,27.0794424,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1989,28.3948592,28.3948592,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1990,29.6649168,29.6649168,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1991,29.3927616,29.3927616,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1992,28.576296,28.576296,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1993,35.7430496,35.7430496,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1994,33.6111672,33.6111672,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1995,28.4402184,28.4402184,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1996,28.1680632,28.1680632,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1997,28.9845288,28.9845288,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1998,28.3495,28.3495,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1999,28.8938104,28.8938104,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2000,27.8505488,27.8505488,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2001,28.8484512,28.8484512,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2002,29.937072,29.937072,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2003,30.9349744,30.9349744,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2004,31.4339256,31.4339256,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2005,31.3432072,31.3432072,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2006,31.7060808,31.7060808,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2007,30.7988968,30.7988968,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2008,28.6670144,28.6670144,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2009,27.895908,27.895908,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2010,28.8484512,28.8484512,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2011,30.7081784,30.7081784,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2012,29.9824312,29.9824312,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2013,30.1185088,30.1185088,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2014,29.937072,29.937072,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2015,30.2092272,30.2092272,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2016,30.163868,30.163868,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2017,30.9803336,30.9803336,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
2018,30.61746,30.61746,NA,NA,Per capita utilization(kg),Seafood demand (per capita),20
1962,4.720399717,4.720399717,NA,NA,Millions of metric tons,Seafood demand (total),21
1963,5.183508455,5.183508455,NA,NA,Millions of metric tons,Seafood demand (total),21
1964,5.457682363,5.457682363,NA,NA,Millions of metric tons,Seafood demand (total),21
1965,4.776808464,4.776808464,NA,NA,Millions of metric tons,Seafood demand (total),21
1966,5.65377488,5.65377488,NA,NA,Millions of metric tons,Seafood demand (total),21
1967,6.345067796,6.345067796,NA,NA,Millions of metric tons,Seafood demand (total),21
1968,7.883716618,7.883716618,NA,NA,Millions of metric tons,Seafood demand (total),21
1969,5.369481327,5.369481327,NA,NA,Millions of metric tons,Seafood demand (total),21
1970,5.200477345,5.200477345,NA,NA,Millions of metric tons,Seafood demand (total),21
1971,5.351192482,5.351192482,NA,NA,Millions of metric tons,Seafood demand (total),21
1972,6.283796539,6.283796539,NA,NA,Millions of metric tons,Seafood demand (total),21
1973,4.709694937,4.709694937,NA,NA,Millions of metric tons,Seafood demand (total),21
1974,4.482481447,4.482481447,NA,NA,Millions of metric tons,Seafood demand (total),21
1975,4.614667335,4.614667335,NA,NA,Millions of metric tons,Seafood demand (total),21
1976,5.26058287,5.26058287,NA,NA,Millions of metric tons,Seafood demand (total),21
1977,4.824254226,4.824254226,NA,NA,Millions of metric tons,Seafood demand (total),21
1978,5.220131503,5.220131503,NA,NA,Millions of metric tons,Seafood demand (total),21
1979,5.370651595,5.370651595,NA,NA,Millions of metric tons,Seafood demand (total),21
1980,5.153820834,5.153820834,NA,NA,Millions of metric tons,Seafood demand (total),21
1981,5.153716508,5.153716508,NA,NA,Millions of metric tons,Seafood demand (total),21
1982,5.445258468,5.445258468,NA,NA,Millions of metric tons,Seafood demand (total),21
1983,5.600781684,5.600781684,NA,NA,Millions of metric tons,Seafood demand (total),21
1984,5.69146387,5.69146387,NA,NA,Millions of metric tons,Seafood demand (total),21
1985,6.869543046,6.869543046,NA,NA,Millions of metric tons,Seafood demand (total),21
1986,6.518027103,6.518027103,NA,NA,Millions of metric tons,Seafood demand (total),21
1987,7.136568338,7.136568338,NA,NA,Millions of metric tons,Seafood demand (total),21
1988,6.6344688,6.6344688,NA,NA,Millions of metric tons,Seafood demand (total),21
1989,7.022054408,7.022054408,NA,NA,Millions of metric tons,Seafood demand (total),21
1990,7.413268755,7.413268755,NA,NA,Millions of metric tons,Seafood demand (total),21
1991,7.427556915,7.427556915,NA,NA,Millions of metric tons,Seafood demand (total),21
1992,7.301249584,7.301249584,NA,NA,Millions of metric tons,Seafood demand (total),21
1993,9.228862935,9.228862935,NA,NA,Millions of metric tons,Seafood demand (total),21
1994,8.762438437,8.762438437,NA,NA,Millions of metric tons,Seafood demand (total),21
1995,7.479783541,7.479783541,NA,NA,Millions of metric tons,Seafood demand (total),21
1996,7.472993263,7.472993263,NA,NA,Millions of metric tons,Seafood demand (total),21
1997,7.773656965,7.773656965,NA,NA,Millions of metric tons,Seafood demand (total),21
1998,7.671380958,7.671380958,NA,NA,Millions of metric tons,Seafood demand (total),21
1999,7.88512729,7.88512729,NA,NA,Millions of metric tons,Seafood demand (total),21
2000,7.86221634,7.86221634,NA,NA,Millions of metric tons,Seafood demand (total),21
2001,8.221815299,8.221815299,NA,NA,Millions of metric tons,Seafood demand (total),21
2002,8.633858608,8.633858608,NA,NA,Millions of metric tons,Seafood demand (total),21
2003,9.002084893,9.002084893,NA,NA,Millions of metric tons,Seafood demand (total),21
2004,9.23843827,9.23843827,NA,NA,Millions of metric tons,Seafood demand (total),21
2005,9.305805809,9.305805809,NA,NA,Millions of metric tons,Seafood demand (total),21
2006,9.505490778,9.505490778,NA,NA,Millions of metric tons,Seafood demand (total),21
2007,9.301274421,9.301274421,NA,NA,Millions of metric tons,Seafood demand (total),21
2008,8.729113005,8.729113005,NA,NA,Millions of metric tons,Seafood demand (total),21
2009,8.575209114,8.575209114,NA,NA,Millions of metric tons,Seafood demand (total),21
2010,8.945912014,8.945912014,NA,NA,Millions of metric tons,Seafood demand (total),21
2011,9.580959476,9.580959476,NA,NA,Millions of metric tons,Seafood demand (total),21
2012,9.423485813,9.423485813,NA,NA,Millions of metric tons,Seafood demand (total),21
2013,9.529503958,9.529503958,NA,NA,Millions of metric tons,Seafood demand (total),21
2014,9.546940048,9.546940048,NA,NA,Millions of metric tons,Seafood demand (total),21
2015,9.709253542,9.709253542,NA,NA,Millions of metric tons,Seafood demand (total),21
2016,9.751986479,9.751986479,NA,NA,Millions of metric tons,Seafood demand (total),21
2017,10.09649896,10.09649896,NA,NA,Millions of metric tons,Seafood demand (total),21
2018,10.02416458,10.02416458,NA,NA,Millions of metric tons,Seafood demand (total),21
1900,9,9,NA,NA,Millions of cubic meters,Sediment retention,22
1901,9,9,NA,NA,Millions of cubic meters,Sediment retention,22
1902,14,14,NA,NA,Millions of cubic meters,Sediment retention,22
1903,14,14,NA,NA,Millions of cubic meters,Sediment retention,22
1904,107,107,NA,NA,Millions of cubic meters,Sediment retention,22
1905,111,111,NA,NA,Millions of cubic meters,Sediment retention,22
1906,228,228,NA,NA,Millions of cubic meters,Sediment retention,22
1907,229,229,NA,NA,Millions of cubic meters,Sediment retention,22
1908,509,509,NA,NA,Millions of cubic meters,Sediment retention,22
