Year,index,sd,SE,metric,timeseries,data.type,data.type2,SElo,SEup,Notes,SE_type
2002,20884.59,,,Spawning biomass (mt),Yellowfin tuna,biomass,,8664.75,41560.77,,CI
2003,16163.37,,,Spawning biomass (mt),Yellowfin tuna,biomass,,7032.078,32720.98,,CI
2004,12221.29,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5575.071,26275.88,,CI
2005,10301.23,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4819.981,23166.76,,CI
2006,9369.287,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4271.964,21448.07,,CI
2007,8498.499,,,Spawning biomass (mt),Yellowfin tuna,biomass,,3933.637,19170.12,,CI
2008,9392.25,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4351.706,21385,,CI
2009,11290.88,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5194.503,25888.71,,CI
2010,10352.96,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4617.471,24226.27,,CI
2011,9573.05,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4513.556,21836.56,,CI
2012,9650.416,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4568.323,21934.48,,CI
2013,9679.721,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4596.055,21966.37,,CI
2014,9219.312,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4461.684,20581.25,,CI
2015,8446.805,,,Spawning biomass (mt),Yellowfin tuna,biomass,,4077.947,18580.01,,CI
2016,7485.324,,,Spawning biomass (mt),Yellowfin tuna,biomass,,3550.388,16209.59,,CI
2017,6244.701,,,Spawning biomass (mt),Yellowfin tuna,biomass,,2892.493,13145.74,,CI
2018,6984.063,,,Spawning biomass (mt),Yellowfin tuna,biomass,,3449.599,14300.63,,CI
2019,7020.344,,,Spawning biomass (mt),Yellowfin tuna,biomass,,3327.336,14801.09,,CI
2020,7367.766,,,Spawning biomass (mt),Yellowfin tuna,biomass,,3159.202,15772.53,,CI
1984,1409273,,,Recruitment,Yellowfin tuna,recruitment,,654547.2,3079301,,CI
1985,1198399,,,Recruitment,Yellowfin tuna,recruitment,,705631.5,2355989,,CI
1986,1297837,,,Recruitment,Yellowfin tuna,recruitment,,674793.9,2637992,,CI
1987,1209255,,,Recruitment,Yellowfin tuna,recruitment,,716673.9,2319956,,CI
1988,1363102,,,Recruitment,Yellowfin tuna,recruitment,,795284.8,2698211,,CI
1989,1294066,,,Recruitment,Yellowfin tuna,recruitment,,681214.8,2654029,,CI
1990,1178998,,,Recruitment,Yellowfin tuna,recruitment,,591232.6,2468266,,CI
1991,1032157,,,Recruitment,Yellowfin tuna,recruitment,,562535.9,2031767,,CI
1992,1304619,,,Recruitment,Yellowfin tuna,recruitment,,699801,2651291,,CI
1993,1476699,,,Recruitment,Yellowfin tuna,recruitment,,783078,3001893,,CI
1994,871238.8,,,Recruitment,Yellowfin tuna,recruitment,,520498.5,1657758,,CI
1995,1063234,,,Recruitment,Yellowfin tuna,recruitment,,667294.4,1975619,,CI
1996,1132275,,,Recruitment,Yellowfin tuna,recruitment,,644302.5,2159202,,CI
1997,1030252,,,Recruitment,Yellowfin tuna,recruitment,,631357.1,1857180,,CI
1998,1369656,,,Recruitment,Yellowfin tuna,recruitment,,810707.4,2295236,,CI
1999,2035279,,,Recruitment,Yellowfin tuna,recruitment,,1244589,3308169,,CI
2000,1094839,,,Recruitment,Yellowfin tuna,recruitment,,727945.7,1763885,,CI
2001,1142496,,,Recruitment,Yellowfin tuna,recruitment,,767977.3,1922451,,CI
2002,922452,,,Recruitment,Yellowfin tuna,recruitment,,608436.3,1589854,,CI
2003,924689.3,,,Recruitment,Yellowfin tuna,recruitment,,621738.4,1558045,,CI
2004,598155.6,,,Recruitment,Yellowfin tuna,recruitment,,384056.3,1032929,,CI
2005,825547.1,,,Recruitment,Yellowfin tuna,recruitment,,528028.7,1480983,,CI
2006,973117.9,,,Recruitment,Yellowfin tuna,recruitment,,560720.5,1855196,,CI
2007,794432.2,,,Recruitment,Yellowfin tuna,recruitment,,528500.5,1398207,,CI
2008,856294,,,Recruitment,Yellowfin tuna,recruitment,,562678.2,1486857,,CI
2009,781654.9,,,Recruitment,Yellowfin tuna,recruitment,,494584.8,1399636,,CI
2010,790273.5,,,Recruitment,Yellowfin tuna,recruitment,,534279.8,1356377,,CI
2011,795319.1,,,Recruitment,Yellowfin tuna,recruitment,,521701.1,1382154,,CI
2012,757525.6,,,Recruitment,Yellowfin tuna,recruitment,,502494,1273070,,CI
2013,711983.7,,,Recruitment,Yellowfin tuna,recruitment,,502941.8,1108335,,CI
2014,608772.9,,,Recruitment,Yellowfin tuna,recruitment,,423367.8,911885,,CI
2015,842962.6,,,Recruitment,Yellowfin tuna,recruitment,,617476,1267655,,CI
2016,714256.1,,,Recruitment,Yellowfin tuna,recruitment,,487459.8,1107587,,CI
2017,808253.7,,,Recruitment,Yellowfin tuna,recruitment,,563772.3,1243886,,CI
2018,978221.8,,,Recruitment,Yellowfin tuna,recruitment,,488062.5,1798578,,CI
2019,1486848,,,Recruitment,Yellowfin tuna,recruitment,,246326.1,3226259,,CI
1975,44100,,8638,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,35462,52738,,SE
1976,39375,,8115,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,31260,47490,,SE
1977,35617,,7816,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,27801,43433,,SE
1978,32091,,7697,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,24394,39788,,SE
1979,29057,,7489,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,21568,36546,,SE
1980,27485,,7253,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,20232,34738,,SE
1981,25871,,7008,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,18863,32879,,SE
1982,25512,,6953,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,18559,32465,,SE
1983,23811,,6753,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,17058,30564,,SE
1984,23426,,6730,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,16696,30156,,SE
1985,23356,,6763,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,16593,30119,,SE
1986,24286,,6946,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,17340,31232,,SE
1987,24154,,7029,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,17125,31183,,SE
1988,22691,,6876,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,15815,29567,,SE
1989,21921,,6708,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,15213,28629,,SE
1990,21709,,6454,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,15255,28163,,SE
1991,21373,,6116,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,15257,27489,,SE
1992,19156,,5522,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,13634,24678,,SE
1993,17191,,4768,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,12423,21959,,SE
1994,17716,,4320,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,13396,22036,,SE
1995,18832,,4219,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,14613,23051,,SE
1996,19224,,4191,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,15033,23415,,SE
1997,19451,,4163,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,15288,23614,,SE
1998,18745,,4081,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,14664,22826,,SE
1999,18039,,3936,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,14103,21975,,SE
2000,18365,,3815,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,14550,22180,,SE
2001,20322,,3857,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,16465,24179,,SE
2002,20911,,3889,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,17022,24800,,SE
2003,20866,,3908,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,16958,24774,,SE
2004,20767,,3939,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,16828,24706,,SE
2005,20990,,4025,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,16965,25015,,SE
2006,22848,,4215,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,18633,27063,,SE
2007,23811,,4404,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,19407,28215,,SE
2008,24557,,4573,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,19984,29130,,SE
2009,25392,,4743,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,20649,30135,,SE
2010,26136,,4891,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,21245,31027,,SE
2011,26448,,4987,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,21461,31435,,SE
2012,26569,,5056,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,21513,31625,,SE
2013,27546,,5179,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,22367,32725,,SE
2014,28580,,5295,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,23285,33875,,SE
2015,28865,,5393,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,23472,34258,,SE
2016,29404,,5533,Spawning biomass (mt),Western Central Pacific swordfish,biomass,,23871,34937,,SE
1975,789,,377,Recruits (x1000),Western Central Pacific swordfish,recruitment,,412,1166,,SE
1976,697,,334,Recruits (x1000),Western Central Pacific swordfish,recruitment,,363,1031,,SE
1977,803,,378,Recruits (x1000),Western Central Pacific swordfish,recruitment,,425,1181,,SE
1978,833,,387,Recruits (x1000),Western Central Pacific swordfish,recruitment,,446,1220,,SE
1979,705,,335,Recruits (x1000),Western Central Pacific swordfish,recruitment,,370,1040,,SE
1980,682,,329,Recruits (x1000),Western Central Pacific swordfish,recruitment,,353,1011,,SE
1981,854,,422,Recruits (x1000),Western Central Pacific swordfish,recruitment,,432,1276,,SE
1982,1061,,552,Recruits (x1000),Western Central Pacific swordfish,recruitment,,509,1613,,SE
1983,1241,,615,Recruits (x1000),Western Central Pacific swordfish,recruitment,,626,1856,,SE
1984,894,,474,Recruits (x1000),Western Central Pacific swordfish,recruitment,,420,1368,,SE
1985,803,,403,Recruits (x1000),Western Central Pacific swordfish,recruitment,,400,1206,,SE
1986,772,,381,Recruits (x1000),Western Central Pacific swordfish,recruitment,,391,1153,,SE
1987,820,,390,Recruits (x1000),Western Central Pacific swordfish,recruitment,,430,1210,,SE
1988,760,,349,Recruits (x1000),Western Central Pacific swordfish,recruitment,,411,1109,,SE
1989,587,,265,Recruits (x1000),Western Central Pacific swordfish,recruitment,,322,852,,SE
1990,586,,255,Recruits (x1000),Western Central Pacific swordfish,recruitment,,331,841,,SE
1991,1178,,256,Recruits (x1000),Western Central Pacific swordfish,recruitment,,922,1434,,SE
1992,702,,164,Recruits (x1000),Western Central Pacific swordfish,recruitment,,538,866,,SE
1993,658,,133,Recruits (x1000),Western Central Pacific swordfish,recruitment,,525,791,,SE
1994,677,,129,Recruits (x1000),Western Central Pacific swordfish,recruitment,,548,806,,SE
1995,563,,107,Recruits (x1000),Western Central Pacific swordfish,recruitment,,456,670,,SE
1996,401,,86,Recruits (x1000),Western Central Pacific swordfish,recruitment,,315,487,,SE
1997,894,,145,Recruits (x1000),Western Central Pacific swordfish,recruitment,,749,1039,,SE
1998,1068,,153,Recruits (x1000),Western Central Pacific swordfish,recruitment,,915,1221,,SE
1999,564,,116,Recruits (x1000),Western Central Pacific swordfish,recruitment,,448,680,,SE
2000,669,,115,Recruits (x1000),Western Central Pacific swordfish,recruitment,,554,784,,SE
2001,737,,108,Recruits (x1000),Western Central Pacific swordfish,recruitment,,629,845,,SE
2002,706,,101,Recruits (x1000),Western Central Pacific swordfish,recruitment,,605,807,,SE
2003,1066,,117,Recruits (x1000),Western Central Pacific swordfish,recruitment,,949,1183,,SE
2004,901,,121,Recruits (x1000),Western Central Pacific swordfish,recruitment,,780,1022,,SE
2005,703,,121,Recruits (x1000),Western Central Pacific swordfish,recruitment,,582,824,,SE
2006,762,,123,Recruits (x1000),Western Central Pacific swordfish,recruitment,,639,885,,SE
2007,723,,115,Recruits (x1000),Western Central Pacific swordfish,recruitment,,608,838,,SE
2008,567,,97,Recruits (x1000),Western Central Pacific swordfish,recruitment,,470,664,,SE
2009,617,,101,Recruits (x1000),Western Central Pacific swordfish,recruitment,,516,718,,SE
2010,789,,117,Recruits (x1000),Western Central Pacific swordfish,recruitment,,672,906,,SE
2011,565,,101,Recruits (x1000),Western Central Pacific swordfish,recruitment,,464,666,,SE
2012,671,,106,Recruits (x1000),Western Central Pacific swordfish,recruitment,,565,777,,SE
2013,710,,115,Recruits (x1000),Western Central Pacific swordfish,recruitment,,595,825,,SE
2014,683,,129,Recruits (x1000),Western Central Pacific swordfish,recruitment,,554,812,,SE
2015,742,,232,Recruits (x1000),Western Central Pacific swordfish,recruitment,,510,974,,SE
2016,781,,303,Recruits (x1000),Western Central Pacific swordfish,recruitment,,478,1084,,SE
1951,57210,,14460,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,42750,71670,,SE
1952,55010,,15680,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,39330,70690,,SE
1953,51470,,16980,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,34490,68450,,SE
1954,45550,,17060,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28490,62610,,SE
1955,38360,,14450,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,23910,52810,,SE
1956,37030,,13820,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,23210,50850,,SE
1957,41690,,14470,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,27220,56160,,SE
1958,40890,,14290,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,26600,55180,,SE
1959,39680,,14150,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,25530,53830,,SE
1960,42920,,14850,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28070,57770,,SE
1961,49290,,16160,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,33130,65450,,SE
1962,54920,,17730,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,37190,72650,,SE
1963,59320,,19060,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40260,78380,,SE
1964,60010,,19450,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40560,79460,,SE
1965,58080,,19450,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,38630,77530,,SE
1966,60160,,20000,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40160,80160,,SE
1967,62370,,20700,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,41670,83070,,SE
1968,64250,,21370,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,42880,85620,,SE
1969,67070,,22310,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,44760,89380,,SE
1970,64850,,22520,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,42330,87370,,SE
1971,60990,,21470,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,39520,82460,,SE
1972,61350,,20650,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40700,82000,,SE
1973,62890,,20720,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,42170,83610,,SE
1974,59700,,19690,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40010,79390,,SE
1975,56520,,17910,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,38610,74430,,SE
1976,55920,,17680,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,38240,73600,,SE
1977,54950,,17630,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,37320,72580,,SE
1978,52230,,16910,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,35320,69140,,SE
1979,49500,,16150,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,33350,65650,,SE
1980,50490,,16220,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,34270,66710,,SE
1981,51960,,16690,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,35270,68650,,SE
1982,48780,,15870,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,32910,64650,,SE
1983,46160,,15190,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,30970,61350,,SE
1984,43110,,14190,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28920,57300,,SE
1985,42180,,13840,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28340,56020,,SE
1986,44180,,14190,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,29990,58370,,SE
1987,44520,,14260,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,30260,58780,,SE
1988,42480,,13740,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28740,56220,,SE
1989,42190,,13630,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28560,55820,,SE
1990,43410,,13720,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,29690,57130,,SE
1991,39840,,12970,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,26870,52810,,SE
1992,38140,,12320,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,25820,50460,,SE
1993,35860,,11820,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,24040,47680,,SE
1994,32160,,11050,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,21110,43210,,SE
1995,31510,,11070,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,20440,42580,,SE
1996,33620,,11520,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,22100,45140,,SE
1997,36170,,12180,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,23990,48350,,SE
1998,37980,,12910,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,25070,50890,,SE
1999,37900,,13490,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,24410,51390,,SE
2000,43420,,14470,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28950,57890,,SE
2001,46460,,15610,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,30850,62070,,SE
2002,44320,,15180,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,29140,59500,,SE
2003,41980,,14620,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,27360,56600,,SE
2004,40660,,14170,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,26490,54830,,SE
2005,39550,,13940,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,25610,53490,,SE
2006,43100,,14890,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,28210,57990,,SE
2007,47980,,16290,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,31690,64270,,SE
2008,53840,,18080,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,35760,71920,,SE
2009,60570,,20290,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40280,80860,,SE
2010,62120,,21440,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,40680,83560,,SE
2011,60810,,21830,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,38980,82640,,SE
2012,58590,,21950,Exploitable biomass (mt),Eastern Pacific swordfish,biomass,,36640,80540,,SE
1971,71806.5,,19780.7,Spawning biomass (mt),Blue marlin,biomass,,52025.8,91587.2,,SE
1972,69410.4,,17793.1,Spawning biomass (mt),Blue marlin,biomass,,51617.3,87203.5,,SE
1973,67252.4,,16063.4,Spawning biomass (mt),Blue marlin,biomass,,51189,83315.8,,SE
1974,65101.3,,14553.2,Spawning biomass (mt),Blue marlin,biomass,,50548.1,79654.5,,SE
1975,63538.2,,13194.7,Spawning biomass (mt),Blue marlin,biomass,,50343.5,76732.9,,SE
1976,61014,,11904.1,Spawning biomass (mt),Blue marlin,biomass,,49109.9,72918.1,,SE
1977,57275,,10713.3,Spawning biomass (mt),Blue marlin,biomass,,46561.7,67988.3,,SE
1978,53483.6,,9673.9,Spawning biomass (mt),Blue marlin,biomass,,43809.7,63157.5,,SE
1979,52426.7,,8804.21,Spawning biomass (mt),Blue marlin,biomass,,43622.49,61230.91,,SE
1980,52251.4,,8101.66,Spawning biomass (mt),Blue marlin,biomass,,44149.74,60353.06,,SE
1981,52895.1,,7625.9,Spawning biomass (mt),Blue marlin,biomass,,45269.2,60521,,SE
1982,52545.9,,7284.46,Spawning biomass (mt),Blue marlin,biomass,,45261.44,59830.36,,SE
1983,51632,,7040.13,Spawning biomass (mt),Blue marlin,biomass,,44591.87,58672.13,,SE
1984,52040,,6904.71,Spawning biomass (mt),Blue marlin,biomass,,45135.29,58944.71,,SE
1985,51964.7,,6800.38,Spawning biomass (mt),Blue marlin,biomass,,45164.32,58765.08,,SE
1986,51909.3,,6694.74,Spawning biomass (mt),Blue marlin,biomass,,45214.56,58604.04,,SE
1987,49865.9,,6546.65,Spawning biomass (mt),Blue marlin,biomass,,43319.25,56412.55,,SE
1988,45912.4,,6368.19,Spawning biomass (mt),Blue marlin,biomass,,39544.21,52280.59,,SE
1989,44752.1,,6235.93,Spawning biomass (mt),Blue marlin,biomass,,38516.17,50988.03,,SE
1990,44531.8,,6100.03,Spawning biomass (mt),Blue marlin,biomass,,38431.77,50631.83,,SE
1991,44821.9,,5940.22,Spawning biomass (mt),Blue marlin,biomass,,38881.68,50762.12,,SE
1992,44088.6,,5747.45,Spawning biomass (mt),Blue marlin,biomass,,38341.15,49836.05,,SE
1993,42563.4,,5524,Spawning biomass (mt),Blue marlin,biomass,,37039.4,48087.4,,SE
1994,41234.1,,5192.05,Spawning biomass (mt),Blue marlin,biomass,,36042.05,46426.15,,SE
1995,38589.3,,4890.91,Spawning biomass (mt),Blue marlin,biomass,,33698.39,43480.21,,SE
1996,35884.2,,4647.35,Spawning biomass (mt),Blue marlin,biomass,,31236.85,40531.55,,SE
1997,35948.7,,4478.24,Spawning biomass (mt),Blue marlin,biomass,,31470.46,40426.94,,SE
1998,34572.7,,4273.84,Spawning biomass (mt),Blue marlin,biomass,,30298.86,38846.54,,SE
1999,34912.9,,4052.85,Spawning biomass (mt),Blue marlin,biomass,,30860.05,38965.75,,SE
2000,33608,,3843.25,Spawning biomass (mt),Blue marlin,biomass,,29764.75,37451.25,,SE
2001,31235.6,,3553.67,Spawning biomass (mt),Blue marlin,biomass,,27681.93,34789.27,,SE
2002,28457.9,,3273.39,Spawning biomass (mt),Blue marlin,biomass,,25184.51,31731.29,,SE
2003,25771.8,,2996.42,Spawning biomass (mt),Blue marlin,biomass,,22775.38,28768.22,,SE
2004,23187.6,,2758.55,Spawning biomass (mt),Blue marlin,biomass,,20429.05,25946.15,,SE
2005,22374,,2636.61,Spawning biomass (mt),Blue marlin,biomass,,19737.39,25010.61,,SE
2006,20972,,2576.58,Spawning biomass (mt),Blue marlin,biomass,,18395.42,23548.58,,SE
2007,21341.1,,2623.27,Spawning biomass (mt),Blue marlin,biomass,,18717.83,23964.37,,SE
2008,22705.8,,2697.06,Spawning biomass (mt),Blue marlin,biomass,,20008.74,25402.86,,SE
2009,23065.3,,2729.6,Spawning biomass (mt),Blue marlin,biomass,,20335.7,25794.9,,SE
2010,22391.8,,2757.74,Spawning biomass (mt),Blue marlin,biomass,,19634.06,25149.54,,SE
2011,23181.8,,2832.15,Spawning biomass (mt),Blue marlin,biomass,,20349.65,26013.95,,SE
2012,23432.2,,2946.78,Spawning biomass (mt),Blue marlin,biomass,,20485.42,26378.98,,SE
2013,24770.9,,3125.3,Spawning biomass (mt),Blue marlin,biomass,,21645.6,27896.2,,SE
2014,24808.7,,3372.22,Spawning biomass (mt),Blue marlin,biomass,,21436.48,28180.92,,SE
1971,891.36,,168.41,Recruits (x1000),Blue marlin,recruitment,,722.95,1059.77,,SE
1972,841.41,,163.75,Recruits (x1000),Blue marlin,recruitment,,677.66,1005.16,,SE
1973,825.18,,150.42,Recruits (x1000),Blue marlin,recruitment,,674.76,975.6,,SE
1974,589.3,,115.84,Recruits (x1000),Blue marlin,recruitment,,473.46,705.14,,SE
1975,636.27,,118.48,Recruits (x1000),Blue marlin,recruitment,,517.79,754.75,,SE
1976,663.81,,128.59,Recruits (x1000),Blue marlin,recruitment,,535.22,792.4,,SE
1977,1176.94,,212.03,Recruits (x1000),Blue marlin,recruitment,,964.91,1388.97,,SE
1978,1063.48,,221.6,Recruits (x1000),Blue marlin,recruitment,,841.88,1285.08,,SE
1979,1048.29,,206.08,Recruits (x1000),Blue marlin,recruitment,,842.21,1254.37,,SE
1980,953.28,,196.94,Recruits (x1000),Blue marlin,recruitment,,756.34,1150.22,,SE
1981,919.69,,188.98,Recruits (x1000),Blue marlin,recruitment,,730.71,1108.67,,SE
1982,1181.18,,218.24,Recruits (x1000),Blue marlin,recruitment,,962.94,1399.42,,SE
1983,1028.63,,201.99,Recruits (x1000),Blue marlin,recruitment,,826.64,1230.62,,SE
1984,875.43,,175.19,Recruits (x1000),Blue marlin,recruitment,,700.24,1050.62,,SE
1985,881.3,,170.44,Recruits (x1000),Blue marlin,recruitment,,710.86,1051.74,,SE
1986,1085.58,,181.21,Recruits (x1000),Blue marlin,recruitment,,904.37,1266.79,,SE
1987,1024.75,,184.58,Recruits (x1000),Blue marlin,recruitment,,840.17,1209.33,,SE
1988,992.11,,185.31,Recruits (x1000),Blue marlin,recruitment,,806.8,1177.42,,SE
1989,940.2,,183.66,Recruits (x1000),Blue marlin,recruitment,,756.54,1123.86,,SE
1990,931.47,,171.9,Recruits (x1000),Blue marlin,recruitment,,759.57,1103.37,,SE
1991,946.97,,176.46,Recruits (x1000),Blue marlin,recruitment,,770.51,1123.43,,SE
1992,1137.68,,199.7,Recruits (x1000),Blue marlin,recruitment,,937.98,1337.38,,SE
1993,899.15,,165.93,Recruits (x1000),Blue marlin,recruitment,,733.22,1065.08,,SE
1994,816.74,,146.08,Recruits (x1000),Blue marlin,recruitment,,670.66,962.82,,SE
1995,856.11,,136.22,Recruits (x1000),Blue marlin,recruitment,,719.89,992.33,,SE
1996,800.7,,139.5,Recruits (x1000),Blue marlin,recruitment,,661.2,940.2,,SE
1997,1056.28,,143.15,Recruits (x1000),Blue marlin,recruitment,,913.13,1199.43,,SE
1998,628.63,,110.72,Recruits (x1000),Blue marlin,recruitment,,517.91,739.35,,SE
1999,848.77,,129.44,Recruits (x1000),Blue marlin,recruitment,,719.33,978.21,,SE
2000,923.38,,130.08,Recruits (x1000),Blue marlin,recruitment,,793.3,1053.46,,SE
2001,840.92,,126.28,Recruits (x1000),Blue marlin,recruitment,,714.64,967.2,,SE
2002,880.83,,127.32,Recruits (x1000),Blue marlin,recruitment,,753.51,1008.15,,SE
2003,985.46,,122.97,Recruits (x1000),Blue marlin,recruitment,,862.49,1108.43,,SE
2004,793.43,,111.27,Recruits (x1000),Blue marlin,recruitment,,682.16,904.7,,SE
2005,956.88,,119.43,Recruits (x1000),Blue marlin,recruitment,,837.45,1076.31,,SE
2006,874.14,,119.44,Recruits (x1000),Blue marlin,recruitment,,754.7,993.58,,SE
2007,699.28,,110.74,Recruits (x1000),Blue marlin,recruitment,,588.54,810.02,,SE
2008,687.05,,112.41,Recruits (x1000),Blue marlin,recruitment,,574.64,799.46,,SE
2009,1031,,135.69,Recruits (x1000),Blue marlin,recruitment,,895.31,1166.69,,SE
2010,701.74,,128.39,Recruits (x1000),Blue marlin,recruitment,,573.35,830.13,,SE
2011,1060.95,,156.88,Recruits (x1000),Blue marlin,recruitment,,904.07,1217.83,,SE
2012,763.04,,142.62,Recruits (x1000),Blue marlin,recruitment,,620.42,905.66,,SE
2013,908.75,,179.42,Recruits (x1000),Blue marlin,recruitment,,729.33,1088.17,,SE
2014,838.53,,37.27,Recruits (x1000),Blue marlin,recruitment,,801.26,875.8,,SE
1975,0.89015248,,,Relative biomass index,Skipjack tuna,biomass,,,,,
1976,0.710177872,,,Relative biomass index,Skipjack tuna,biomass,,,,,
